"Locus Tag","Gene Name","Product Description","Strain Name","Accession","GO Term","Namespace","GO Evidence Code","Evidence Ontology ECO Code","Evidence Ontology Term","Similar To \ Binds To","PMID"
"PP_0019","PP_0019","hypothetical protein","Pseudomonas putida KT2440 (TIGR)","GO:0003677","DNA binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:G3DSA:1.10.260.40","PMID:24451626"
"PP_0024","PP_0024","membrane-associated metal-dependent hydrolase","Pseudomonas putida KT2440 (TIGR)","GO:0016772","transferase activity, transferring phosphorus-containing groups","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PTHR30443","PMID:24451626"
"PP_0024","PP_0024","membrane-associated metal-dependent hydrolase","Pseudomonas putida KT2440 (TIGR)","GO:0016020","membrane","cellular_component","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF08019","PMID:24451626"
"PP_0024","PP_0024","membrane-associated metal-dependent hydrolase","Pseudomonas putida KT2440 (TIGR)","GO:0008484","sulfuric ester hydrolase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF00884","PMID:24451626"
"PP_0026","PP_0026","cobalt/cadmium/zinc exporter","Pseudomonas putida KT2440 (TIGR)","GO:0006812","cation transport","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF01545","PMID:24451626"
"PP_0026","PP_0026","cobalt/cadmium/zinc exporter","Pseudomonas putida KT2440 (TIGR)","GO:0006812","monoatomic cation transport","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF01545","PMID:24451626"
"PP_0026","PP_0026","cobalt/cadmium/zinc exporter","Pseudomonas putida KT2440 (TIGR)","GO:0008324","cation transmembrane transporter activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF01545","PMID:24451626"
"PP_0026","PP_0026","cobalt/cadmium/zinc exporter","Pseudomonas putida KT2440 (TIGR)","GO:0008324","monoatomic cation transmembrane transporter activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF01545","PMID:24451626"
"PP_0026","PP_0026","cobalt/cadmium/zinc exporter","Pseudomonas putida KT2440 (TIGR)","GO:0016020","membrane","cellular_component","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF01545","PMID:24451626"
"PP_0026","PP_0026","cobalt/cadmium/zinc exporter","Pseudomonas putida KT2440 (TIGR)","GO:0055085","transmembrane transport","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF01545","PMID:24451626"
"PP_0029","czcR-I","heavy metal two-component system response regulator","Pseudomonas putida KT2440 (TIGR)","GO:0000160","phosphorelay signal transduction system","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:cd00383","PMID:24451626"
"PP_0029","czcR-I","heavy metal two-component system response regulator","Pseudomonas putida KT2440 (TIGR)","GO:0003677","DNA binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:cd00383","PMID:24451626"
"PP_0029","czcR-I","heavy metal two-component system response regulator","Pseudomonas putida KT2440 (TIGR)","GO:0006355","regulation of transcription, DNA-templated","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:cd00383","PMID:24451626"
"PP_0029","czcR-I","heavy metal two-component system response regulator","Pseudomonas putida KT2440 (TIGR)","GO:0006355","regulation of DNA-templated transcription","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:cd00383","PMID:24451626"
"PP_0030","czrSA","metal-sensor histidine kinase","Pseudomonas putida KT2440 (TIGR)","GO:0000155","phosphorelay sensor kinase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF00512","PMID:24451626"
"PP_0030","czrSA","metal-sensor histidine kinase","Pseudomonas putida KT2440 (TIGR)","GO:0007165","signal transduction","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF00512","PMID:24451626"
"PP_0030","czrSA","metal-sensor histidine kinase","Pseudomonas putida KT2440 (TIGR)","GO:0000160","phosphorelay signal transduction system","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR01386","PMID:24451626"
"PP_0030","czrSA","metal-sensor histidine kinase","Pseudomonas putida KT2440 (TIGR)","GO:0004673","protein histidine kinase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR01386","PMID:24451626"
"PP_0030","czrSA","metal-sensor histidine kinase","Pseudomonas putida KT2440 (TIGR)","GO:0016020","membrane","cellular_component","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR01386","PMID:24451626"
"PP_0030","czrSA","metal-sensor histidine kinase","Pseudomonas putida KT2440 (TIGR)","GO:0016310","phosphorylation","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PR00344","PMID:24451626"
"PP_0030","czrSA","metal-sensor histidine kinase","Pseudomonas putida KT2440 (TIGR)","GO:0016772","transferase activity, transferring phosphorus-containing groups","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PR00344","PMID:24451626"
"PP_0033","PP_0033","undecaprenyl-glycosyl transferase","Pseudomonas putida KT2440 (TIGR)","GO:0000030","mannosyltransferase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF02366","PMID:24451626"
"PP_0033","PP_0033","undecaprenyl-glycosyl transferase","Pseudomonas putida KT2440 (TIGR)","GO:0006493","protein O-linked glycosylation","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF02366","PMID:24451626"
"PP_0033","PP_0033","undecaprenyl-glycosyl transferase","Pseudomonas putida KT2440 (TIGR)","GO:0016020","membrane","cellular_component","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF02366","PMID:24451626"
"PP_0035","PP_0035","bactoprenol-linked glycose transferase","Pseudomonas putida KT2440 (TIGR)","GO:0000271","polysaccharide biosynthetic process","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF04138","PMID:24451626"
"PP_0035","PP_0035","bactoprenol-linked glycose transferase","Pseudomonas putida KT2440 (TIGR)","GO:0016020","membrane","cellular_component","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF04138","PMID:24451626"
"PP_0036","PP_0036","transcriptional regulator","Pseudomonas putida KT2440 (TIGR)","GO:0003700","DNA-binding transcription factor activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF00126","PMID:24451626"
"PP_0036","PP_0036","transcriptional regulator","Pseudomonas putida KT2440 (TIGR)","GO:0006355","regulation of transcription, DNA-templated","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF00126","PMID:24451626"
"PP_0036","PP_0036","transcriptional regulator","Pseudomonas putida KT2440 (TIGR)","GO:0006355","regulation of DNA-templated transcription","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF00126","PMID:24451626"
"PP_0041","cadA-I","cadmium translocating P-type ATPase","Pseudomonas putida KT2440 (TIGR)","GO:0006812","cation transport","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR01525","PMID:24451626"
"PP_0041","cadA-I","cadmium translocating P-type ATPase","Pseudomonas putida KT2440 (TIGR)","GO:0006812","monoatomic cation transport","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR01525","PMID:24451626"
"PP_0041","cadA-I","cadmium translocating P-type ATPase","Pseudomonas putida KT2440 (TIGR)","GO:0016020","membrane","cellular_component","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR01525","PMID:24451626"
"PP_0041","cadA-I","cadmium translocating P-type ATPase","Pseudomonas putida KT2440 (TIGR)","GO:0019829","ATPase-coupled cation transmembrane transporter activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR01525","PMID:24451626"
"PP_0041","cadA-I","cadmium translocating P-type ATPase","Pseudomonas putida KT2440 (TIGR)","GO:0019829","ATPase-coupled monoatomic cation transmembrane transporter activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR01525","PMID:24451626"
"PP_0041","cadA-I","cadmium translocating P-type ATPase","Pseudomonas putida KT2440 (TIGR)","GO:0000166","nucleotide binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:G3DSA:3.40.1110.10","PMID:24451626"
"PP_0041","cadA-I","cadmium translocating P-type ATPase","Pseudomonas putida KT2440 (TIGR)","GO:0005215","transporter activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR01494","PMID:24451626"
"PP_0041","cadA-I","cadmium translocating P-type ATPase","Pseudomonas putida KT2440 (TIGR)","GO:0005524","ATP binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR01494","PMID:24451626"
"PP_0041","cadA-I","cadmium translocating P-type ATPase","Pseudomonas putida KT2440 (TIGR)","GO:0016887","ATPase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR01494","PMID:24451626"
"PP_0041","cadA-I","cadmium translocating P-type ATPase","Pseudomonas putida KT2440 (TIGR)","GO:0016887","ATP hydrolysis activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR01494","PMID:24451626"
"PP_0043","czcA-I","cation efflux system protein","Pseudomonas putida KT2440 (TIGR)","GO:0016020","membrane","cellular_component","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PTHR32063","PMID:24451626"
"PP_0043","czcA-I","cation efflux system protein","Pseudomonas putida KT2440 (TIGR)","GO:0022857","transmembrane transporter activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PTHR32063","PMID:24451626"
"PP_0043","czcA-I","cation efflux system protein","Pseudomonas putida KT2440 (TIGR)","GO:0055085","transmembrane transport","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PTHR32063","PMID:24451626"
"PP_0043","czcA-I","cation efflux system protein","Pseudomonas putida KT2440 (TIGR)","GO:0006812","cation transport","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR00914","PMID:24451626"
"PP_0043","czcA-I","cation efflux system protein","Pseudomonas putida KT2440 (TIGR)","GO:0006812","monoatomic cation transport","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR00914","PMID:24451626"
"PP_0043","czcA-I","cation efflux system protein","Pseudomonas putida KT2440 (TIGR)","GO:0008324","cation transmembrane transporter activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR00914","PMID:24451626"
"PP_0043","czcA-I","cation efflux system protein","Pseudomonas putida KT2440 (TIGR)","GO:0008324","monoatomic cation transmembrane transporter activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR00914","PMID:24451626"
"PP_0044","czcB-I","cobalt-zinc-cadmium resistance protein","Pseudomonas putida KT2440 (TIGR)","GO:0016020","membrane","cellular_component","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR01730","PMID:24451626"
"PP_0044","czcB-I","cobalt-zinc-cadmium resistance protein","Pseudomonas putida KT2440 (TIGR)","GO:0022857","transmembrane transporter activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR01730","PMID:24451626"
"PP_0044","czcB-I","cobalt-zinc-cadmium resistance protein","Pseudomonas putida KT2440 (TIGR)","GO:0055085","transmembrane transport","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR01730","PMID:24451626"
"PP_0045","czcC-I","cobalt-zinc-cadmium resistance protein","Pseudomonas putida KT2440 (TIGR)","GO:0015562","efflux transmembrane transporter activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF02321","PMID:24451626"
"PP_0045","czcC-I","cobalt-zinc-cadmium resistance protein","Pseudomonas putida KT2440 (TIGR)","GO:0055085","transmembrane transport","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF02321","PMID:24451626"
"PP_0046","opdT-I","tyrosine-specific outer membrane porin D","Pseudomonas putida KT2440 (TIGR)","GO:0016020","membrane","cellular_component","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF03573","PMID:24451626"
"PP_0047","czcR-II","response regulator","Pseudomonas putida KT2440 (TIGR)","GO:0000160","phosphorelay signal transduction system","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:cd00383","PMID:24451626"
"PP_0047","czcR-II","response regulator","Pseudomonas putida KT2440 (TIGR)","GO:0003677","DNA binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:cd00383","PMID:24451626"
"PP_0047","czcR-II","response regulator","Pseudomonas putida KT2440 (TIGR)","GO:0006355","regulation of transcription, DNA-templated","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:cd00383","PMID:24451626"
"PP_0047","czcR-II","response regulator","Pseudomonas putida KT2440 (TIGR)","GO:0006355","regulation of DNA-templated transcription","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:cd00383","PMID:24451626"
"PP_0051","PP_0051","sigma-54 dependent transcriptional regulator","Pseudomonas putida KT2440 (TIGR)","GO:0043565","sequence-specific DNA binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PR01590","PMID:24451626"
"PP_0051","PP_0051","sigma-54 dependent transcriptional regulator","Pseudomonas putida KT2440 (TIGR)","GO:0016887","ATPase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:SM00382","PMID:24451626"
"PP_0051","PP_0051","sigma-54 dependent transcriptional regulator","Pseudomonas putida KT2440 (TIGR)","GO:0016887","ATP hydrolysis activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:SM00382","PMID:24451626"
"PP_0051","PP_0051","sigma-54 dependent transcriptional regulator","Pseudomonas putida KT2440 (TIGR)","GO:0005524","ATP binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF00158","PMID:24451626"
"PP_0051","PP_0051","sigma-54 dependent transcriptional regulator","Pseudomonas putida KT2440 (TIGR)","GO:0006355","regulation of transcription, DNA-templated","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF00158","PMID:24451626"
"PP_0051","PP_0051","sigma-54 dependent transcriptional regulator","Pseudomonas putida KT2440 (TIGR)","GO:0006355","regulation of DNA-templated transcription","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF00158","PMID:24451626"
"PP_0051","PP_0051","sigma-54 dependent transcriptional regulator","Pseudomonas putida KT2440 (TIGR)","GO:0008134","transcription factor binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF00158","PMID:24451626"
"PP_0052","PP_0052","beta-lactamase domain-containing protein","Pseudomonas putida KT2440 (TIGR)","GO:0006749","glutathione metabolic process","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:cd07724","PMID:24451626"
"PP_0052","PP_0052","beta-lactamase domain-containing protein","Pseudomonas putida KT2440 (TIGR)","GO:0050313","sulfur dioxygenase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:cd07724","PMID:24451626"
"PP_0053","PP_0053","sulfide:quinone oxidoreductase","Pseudomonas putida KT2440 (TIGR)","GO:0016491","oxidoreductase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF07992","PMID:24451626"
"PP_0054","PP_0054","membrane protein","Pseudomonas putida KT2440 (TIGR)","GO:0016020","membrane","cellular_component","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF01925","PMID:24451626"
"PP_0055","PP_0055","transcriptional regulator","Pseudomonas putida KT2440 (TIGR)","GO:0003700","DNA-binding transcription factor activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF00126","PMID:24451626"
